year,AS-RCEC_TaiESM1_r1i1p1f1,CNRM-CERFACS_CNRM-CM6-1-HR_r1i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r1i1p1f2,MOHC_UKESM1-0-LL_r2i1p1f2,MOHC_UKESM1-0-LL_r3i1p1f2,MOHC_UKESM1-0-LL_r4i1p1f2,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NCAR_CESM2-FV2_r1i1p1f1,NCAR_CESM2-WACCM-FV2_r1i1p1f1,NCAR_CESM2-WACCM_r1i1p1f1,NCAR_CESM2_r1i1p1f1,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,NCC_NorESM2-MM_r1i1p1f1,NOAA-GFDL_GFDL-CM4_r1i1p1f1,NOAA-GFDL_GFDL-ESM4_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,MRI_MRI-ESM2-0_r1i2p1f1
37,2090941100000000.0,,,,,,,,,,3182415300000000.0,3183731200000000.0,3183731200000000.0,3182415300000000.0,2090941100000000.0,2080609300000000.0,2080609300000000.0,3184378000000000.0,3126799500000000.0,,
38,2111850500000000.0,,,,,,,,,,3214238400000000.0,3215568700000000.0,3215568200000000.0,3214238400000000.0,2111850500000000.0,2101414800000000.0,2101414800000000.0,3216293800000000.0,3153615200000000.0,,
39,2132969200000000.0,,,,,,,,,,3246380800000000.0,3247664200000000.0,3247664200000000.0,3246380800000000.0,2132969200000000.0,2122428600000000.0,2122428600000000.0,3248382800000000.0,3185410800000000.0,,
40,2154298300000000.0,,,,,,,,,,3278845400000000.0,3280171000000000.0,3280171000000000.0,3278845400000000.0,2154298300000000.0,2143653100000000.0,2143653100000000.0,3280826000000000.0,3218838800000000.0,,
41,2175841600000000.0,,,,,,,,,,3311633700000000.0,3313003600000000.0,3313003800000000.0,3311633700000000.0,2175841600000000.0,2165089900000000.0,2165089900000000.0,3313709300000000.0,3251483800000000.0,,
42,2197600000000000.0,,,,,,,,,,3344750600000000.0,3346133600000000.0,3346133600000000.0,3344750600000000.0,2197600000000000.0,2186740900000000.0,2186740900000000.0,3346862700000000.0,3284566300000000.0,,
43,2219575900000000.0,,,,,,,,,,3378198700000000.0,3379532600000000.0,3379533000000000.0,3378198700000000.0,2219575900000000.0,2208608700000000.0,2208608700000000.0,3380307000000000.0,3315835300000000.0,,
44,2241771600000000.0,,,,,,,,,,3411981000000000.0,3413359500000000.0,3413359000000000.0,3411981000000000.0,2241771600000000.0,2230695300000000.0,2230695300000000.0,3414103000000000.0,3350604700000000.0,,
45,2264189200000000.0,,,,,,,,,,3446099200000000.0,3447524300000000.0,3447524300000000.0,3446099200000000.0,2264189200000000.0,2253001000000000.0,2253001000000000.0,3448304000000000.0,3385310000000000.0,,
46,2286831200000000.0,,,,,,,,,,3480561800000000.0,3481999800000000.0,3482000000000000.0,3480561800000000.0,2286831200000000.0,2275532200000000.0,2275532200000000.0,3482882400000000.0,3409015400000000.0,,
