year,CSIRO_ACCESS-ESM1-5_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r3i1p1f3,CCCma_CanESM5_r2i1p1f1,MOHC_HadGEM3-GC31-LL_r4i1p1f3,NOAA-GFDL_GFDL-CM4_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_UKESM1-0-LL_r1i1p1f2,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,CCCma_CanESM5_r2i1p2f1,CAMS_CAMS-CSM1-0_r2i1p1f1,MIROC_MIROC6_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r2i1p1f3,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r2i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,MRI_MRI-ESM2-0_r1i2p1f1,CCCma_CanESM5_r1i1p2f1,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r3i1p1f2,MRI_MRI-ESM2-0_r1i1p1f1,CCCma_CanESM5_r3i1p1f1,NASA-GISS_GISS-E2-1-H_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r4i1p1f2,CCCma_CanESM5_r3i1p2f1,NCAR_CESM2-WACCM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r3i1p1f2,NASA-GISS_GISS-E2-1-G_r102i1p1f1,MOHC_UKESM1-0-LL_r4i1p1f2,E3SM-Project_E3SM-1-0_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,BCC_BCC-ESM1_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r101i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p3f1,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r2i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p1f1,CAMS_CAMS-CSM1-0_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,NCAR_CESM2_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2
40,,,,,79.06568,,,44.6467,101.657616,,,,,,,,,,,,,,,,,,,98.91523,,,,97.82305,,,,,,,,,,,97.35703,
41,,,,,78.95083,,,44.564182,101.05355,,,,,,,,,,,,,,,,,,,98.20113,,,,97.412315,,,,,,,,,,,96.947624,
42,,,,,79.15363,,,44.703068,99.99433,,,,,,,,,,,,,,,,,,,99.22561,,,,97.00754,,,,,,,,,,,98.43571,
43,,,,,79.1844,,,44.566128,100.79482,,,,,,,,,,,,,,,,,,,98.494804,,,,97.87362,,,,,,,,,,,98.126015,
44,,,,,78.95144,,,44.770283,101.48446,,,,,,,,,,,,,,,,,,,97.87631,,,,97.261406,,,,,,,,,,,98.04999,
45,,,,,78.58903,,,44.550846,101.12363,,,,,,,,,,,,,,,,,,,99.724754,,,,97.53617,,,,,,,,,,,97.86306,
46,,,,,78.857155,,,44.7,100.81619,,,,,,,,,,,,,,,,,,,98.76551,,,,96.7826,,,,,,,,,,,97.42428,
47,,,,,78.57064,,,44.81772,100.477425,,,,,,,,,,,,,,,,,,,98.46337,,,,96.420616,,,,,,,,,,,97.64941,
48,,,,,78.78108,,,44.823826,100.8848,,,,,,,,,,,,,,,,,,,98.84066,,,,96.795685,,,,,,,,,,,97.248665,
49,,,,,79.07486,,,44.79611,101.09455,,,,,,,,,,,,,,,,,,,98.58318,,,,96.78122,,,,,,,,,,,97.1498,
50,,,,,78.78009,,,44.788284,100.842354,,,,,,,,,,,,,,,,,,,98.69392,,,,97.13767,,,,,,,,,,,97.95147,
51,,,,,78.59402,,,44.51854,101.3292,,,,,,,,,,,,,,,,,,,98.79513,,,,97.14936,,,,,,,,,,,97.24387,
52,,,,,78.891846,,,44.48969,100.92373,,,,,,,,,,,,,,,,,,,97.90719,,,,96.840454,,,,,,,,,,,96.91217,
53,,,,,78.87323,,,44.562775,100.41561,,,,,,,,,,,,,,,,,,,98.72949,,,,96.80326,,,,,,,,,,,97.55682,
54,,,,,78.64753,,,44.635838,99.568886,,,,,,,,,,,,,,,,,,,98.14621,,,,96.76342,,,,,,,,,,,97.01336,
55,,,,,78.661224,,,44.618153,100.36633,,,,,,,,,,,,,,,,,,,98.072754,,,,96.76754,,,,,,,,,,,97.52468,
