year,CSIRO_ACCESS-ESM1-5_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r3i1p1f3,CCCma_CanESM5_r2i1p1f1,MOHC_HadGEM3-GC31-LL_r4i1p1f3,NOAA-GFDL_GFDL-CM4_r1i1p1f1,MIROC_MIROC-ES2L_r1i1p1f2,MOHC_UKESM1-0-LL_r1i1p1f2,NCC_NorCPM1_r1i1p1f1,NCC_NorESM2-LM_r1i1p1f1,CCCma_CanESM5_r2i1p2f1,CAMS_CAMS-CSM1-0_r2i1p1f1,MIROC_MIROC6_r1i1p1f1,MOHC_HadGEM3-GC31-LL_r2i1p1f3,CSIRO-ARCCSS_ACCESS-CM2_r1i1p1f1,IPSL_IPSL-CM6A-LR_r1i1p1f1,MOHC_UKESM1-0-LL_r2i1p1f2,CNRM-CERFACS_CNRM-CM6-1_r1i1p1f2,MRI_MRI-ESM2-0_r1i2p1f1,CCCma_CanESM5_r1i1p2f1,MOHC_HadGEM3-GC31-LL_r1i1p1f3,MOHC_UKESM1-0-LL_r3i1p1f2,MRI_MRI-ESM2-0_r1i1p1f1,CCCma_CanESM5_r3i1p1f1,NASA-GISS_GISS-E2-1-H_r1i1p1f1,INM_INM-CM4-8_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r4i1p1f2,CCCma_CanESM5_r3i1p2f1,NCAR_CESM2-WACCM_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r3i1p1f2,NASA-GISS_GISS-E2-1-G_r102i1p1f1,MOHC_UKESM1-0-LL_r4i1p1f2,E3SM-Project_E3SM-1-0_r1i1p1f1,CCCma_CanESM5_r1i1p1f1,BCC_BCC-ESM1_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r101i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p3f1,MPI-M_MPI-ESM1-2-HR_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r2i1p1f2,MPI-M_MPI-ESM1-2-LR_r1i1p1f1,NASA-GISS_GISS-E2-1-G_r1i1p1f1,CAMS_CAMS-CSM1-0_r1i1p1f1,SNU_SAM0-UNICON_r1i1p1f1,NCAR_CESM2_r1i1p1f1,CNRM-CERFACS_CNRM-ESM2-1_r1i1p1f2
113,287.9811,,,,227.94829,,,121.92743,290.128,,,,,,,,,,,,,,,,,,,290.4595,,,,292.42764,,,,,,,,,,,291.06122,
114,287.90396,,,,227.94395,,,121.93789,290.11996,,,,,,,,,,,,,,,,,,,290.56638,,,,292.56906,,,,,,,,,,,291.158,
115,287.87506,,,,228.05682,,,121.92493,290.22922,,,,,,,,,,,,,,,,,,,290.6865,,,,292.36536,,,,,,,,,,,291.2003,
116,288.09128,,,,228.1521,,,121.91437,290.19943,,,,,,,,,,,,,,,,,,,290.6899,,,,292.64468,,,,,,,,,,,291.17715,
117,288.10733,,,,228.2625,,,121.915565,290.01974,,,,,,,,,,,,,,,,,,,290.7133,,,,292.8489,,,,,,,,,,,291.35013,
118,288.13657,,,,228.20491,,,121.98795,290.01694,,,,,,,,,,,,,,,,,,,290.8749,,,,292.77087,,,,,,,,,,,291.17813,
119,288.07922,,,,228.25044,,,121.99246,290.1764,,,,,,,,,,,,,,,,,,,290.93033,,,,293.0013,,,,,,,,,,,291.1674,
120,288.02505,,,,228.1723,,,121.996376,290.40756,,,,,,,,,,,,,,,,,,,291.11618,,,,293.02866,,,,,,,,,,,291.40366,
121,288.05853,,,,228.34709,,,121.96998,290.48013,,,,,,,,,,,,,,,,,,,291.0834,,,,293.07272,,,,,,,,,,,291.4774,
122,288.14053,,,,228.31042,,,121.96865,290.26843,,,,,,,,,,,,,,,,,,,291.1303,,,,293.1108,,,,,,,,,,,291.43323,
123,288.04578,,,,228.36845,,,122.03652,290.4531,,,,,,,,,,,,,,,,,,,291.2775,,,,293.10678,,,,,,,,,,,291.5082,
124,288.22592,,,,228.39923,,,122.06323,290.63315,,,,,,,,,,,,,,,,,,,291.22916,,,,293.2843,,,,,,,,,,,291.56628,
125,288.20706,,,,228.36446,,,122.03478,290.4175,,,,,,,,,,,,,,,,,,,291.26282,,,,293.00644,,,,,,,,,,,291.61655,
126,288.26517,,,,228.45638,,,122.03751,290.34604,,,,,,,,,,,,,,,,,,,291.26178,,,,293.17746,,,,,,,,,,,291.76788,
127,288.32632,,,,228.49231,,,122.090294,290.5663,,,,,,,,,,,,,,,,,,,291.32822,,,,293.35403,,,,,,,,,,,291.81326,
