,,,lambda,ecs,tcr,alpha,beta,a0,a1,a2,tau0,tau1,tau2
CESM2-WACCM,ts,irm-3,0.7138371899819621,3.7896558198163075,1.8693656884009466,3.9027746736719346,1.2221213167290044,0.06419858292672063,0.37625324694057233,0.5595481701327071,0.26802044194243657,4.732075863618354,224.03455945852787
CNRM-CM6-1,tas,conventional,0.771372162473962,4.829443672140279,2.13471316518592,,,,,,,,
CNRM-CM6-1,tas,irm-2,0.7484301383284035,4.147234466903515,2.236390636415844,4.478003161229746,1.1801764836326845,0.518411621572051,0.48158837842794905,,4.517719696132763,284.33065589261196,
CNRM-CM6-1,tas,irm-3,0.7786015728561444,4.057131000522946,2.2337914851802276,4.557312886620621,1.190410621415993,0.3172478594841767,0.2792594966045843,0.40349264391123896,1.3685030810708758,17.301145327664642,470.83418911662903
CNRM-CM6-1,ts,conventional,0.7719181214404657,4.794963000913294,2.101864869510976,,,,,,,,
CNRM-CM6-1,ts,irm-2,0.7496201393644852,4.1116053858076125,2.206689595321965,4.446591270602909,1.1816701044229825,0.5169491496093687,0.4830508503906314,,4.635671485301652,287.02716203775833,
CNRM-CM6-1,ts,irm-3,0.7804851549229104,4.020645234400047,2.203875524949122,4.527254826494088,1.1918585192955813,0.31668955463757287,0.2791230457677599,0.4041873995946672,1.440762519996035,17.600428009211086,478.33745441166
CNRM-ESM2-1,tas,conventional,0.6275221588517473,4.764172147032096,1.8448219857715145,,,,,,,,
CNRM-ESM2-1,tas,irm-2,0.622977899886912,4.118312135697462,2.024827360152047,3.7014035652615718,1.1673997893125576,0.4775102450531487,0.5224897549468511,,6.037686402322129,304.00305604790753,
CNRM-ESM2-1,tas,irm-3,0.6516576484201859,4.019519940636281,2.023075680702703,3.7789245715132145,1.1747585277867956,0.11467808666126801,0.3862844853352489,0.4990374280034831,0.4135228345072597,8.626657456028354,318.16542387653885
CNRM-ESM2-1,ts,conventional,0.626067108107885,4.735894236687334,1.8055072243141894,,,,,,,,
CNRM-ESM2-1,ts,irm-2,0.6242993087945016,4.07861651571387,1.9931734986717389,3.673501881001733,1.1697953293610628,0.4751895800037129,0.5248104199962872,,6.174432529407364,305.00732165055865,
CNRM-ESM2-1,ts,irm-3,0.6510966114219578,3.986322735643658,1.9914970104123109,3.744487892333612,1.1767951234233893,0.10823404760488319,0.38898119286579363,0.5027847595293232,0.4506150293893514,8.624143139468085,318.3363660005936
CanESM5,tas,conventional,0.65872433622683,5.615870612918062,2.7395185320471938,,,,,,,,
CanESM5,tas,irm-2,0.6461035911195336,5.134931841816195,2.6779019541392537,4.78642631204436,1.0976962971217818,0.497891865350982,0.5021081346490179,,6.174741718770278,234.35965369913762,
CanESM5,tas,irm-3,0.6544892769691023,5.083602645134679,2.674985508165388,4.800082165701992,1.1065181573303355,0.20064597794628938,0.3438317464816249,0.4555222755720857,0.9985038852618737,13.258208810439136,295.59838042127626
CanESM5,ts,conventional,0.6612612832540625,5.561055597232027,2.7001488975953976,,,,,,,,
CanESM5,ts,irm-2,0.6479387458261651,5.087571650800279,2.6378408402915383,4.755750130956783,1.0977085667140938,0.49561220010591067,0.5043877998940894,,6.299519783572562,235.74332479255233,
CanESM5,ts,irm-3,0.6569993235812799,5.034742002501481,2.634899684467215,4.772178525457714,1.1063621268822426,0.19674899042245644,0.34475131274674514,0.45849969683079844,1.0400587745134762,13.268108221948463,295.08553616338435
E3SM-1-0,tas,conventional,0.6225881763950748,5.315476142099863,2.99463835447647,,,,,,,,
E3SM-1-0,tas,irm-2,0.6354732973350102,5.076309704843571,2.976059137185944,4.6539311662852185,1.0342841149474256,0.5580174193123882,0.4419825806876117,,7.426098372725042,151.39524765534068,
E3SM-1-0,tas,irm-3,0.6227150902217639,5.104216509932448,2.9752069284172187,4.585566721812725,1.0405297289444755,0.12377804401408429,0.45862686348871123,0.4175950924972046,0.5041699211967445,10.826093588813833,176.5342741170845
E3SM-1-0,ts,conventional,0.6245245441409593,5.262920451863696,2.9516692260340163,,,,,,,,
E3SM-1-0,ts,irm-2,0.6368186052467671,5.025947097396686,2.931403476390351,4.617513726338236,1.034881266044158,0.5559830214766985,0.44401697852330146,,7.557754471485687,152.49681821482247,
E3SM-1-0,ts,irm-3,0.6249502148842956,5.0515416271584535,2.9305686180367974,4.5545334583044115,1.0407888976811224,0.11679126698693851,0.4620120337390751,0.4211966992739863,0.5205796438960777,10.751879623371401,175.89464655276734
EC-Earth3-Veg,tas,conventional,0.7920147009419994,4.305520710837024,2.6116387103144434,,,,,,,,
EC-Earth3-Veg,tas,irm-2,0.8315745429797383,4.049214170576936,2.508688816719393,4.857876534395553,1.0441872882434504,0.4998107710974417,0.5001892289025585,,3.882091564370538,93.4523811489659,
EC-Earth3-Veg,tas,irm-3,0.775832646703732,4.130933043836349,2.5105433377310162,4.623711682945075,1.051228178428,0.33926056982924924,0.3080673336738534,0.3526720964968974,1.8485573292500956,23.04473355459218,161.0439817309129
EC-Earth3-Veg,ts,conventional,0.8016194793018252,4.163738338679097,2.47617106036009,,,,,,,,
EC-Earth3-Veg,ts,irm-2,0.8437888307841561,3.8941093138948646,2.3812583678640515,4.7404159420552885,1.049162638447184,0.4887125652290298,0.5112874347709704,,4.043499028440539,93.22238228062291,
EC-Earth3-Veg,ts,irm-3,0.7868371713567613,3.9756095057609495,2.3824250718338256,4.512977078554913,1.056012247700856,0.33504215326091624,0.31382807690202885,0.35112976983705485,2.0026041265517196,24.751586304657195,164.5843659624831
GFDL-CM4,tas,conventional,0.8204665593560246,3.8883058885034307,2.012895796215801,,,,,,,,
GFDL-CM4,tas,irm-2,0.8339692496218202,3.6288802325799567,2.056102091524142,4.366135518415245,1.0628875166868839,0.5061078987378637,0.4938921012621364,,2.783794146080016,189.22063705683436,
GFDL-CM4,tas,irm-3,0.8087090730351968,3.6649960650999915,2.057578937918177,4.276026295151799,1.0664030394733397,0.2765655675141533,0.24218571437995975,0.4812487181058868,1.005830136006458,6.924113444378978,213.15688016662244
GFDL-CM4,ts,conventional,0.8325748651496735,3.7789529636350476,1.9289764517945145,,,,,,,,
