,ssp119,ssp119,ssp245,ssp245,ssp585,ssp585,ssp370,ssp370
,C,T,C,T,C,T,C,T
2090,489.99910449281,2.8034825601823687,694.7243647280652,3.881920350087065,1072.4334459531522,5.160791315448776,878.186589363264,4.418163983228488
2095,483.40421364700313,2.799145583790253,696.354703446394,3.98613506309976,1124.392741144408,5.427419610151718,910.1462435741249,4.630709489191042
2100,476.1620084736269,2.7837531879189634,696.8098720672765,4.074565262373486,1174.2737443374522,5.680231551696048,943.1059094314179,4.838553551954849
2105,469.00059759851416,2.7661240513550363,697.3102024530571,4.156934626360964,1221.6735346181442,5.925670334475731,974.9655554298062,5.048747201884988
2110,462.3184444767117,2.7392155328769268,698.5169931756361,4.226472212205932,1266.4192691958006,6.153996874209446,1004.5724937892988,5.249757717382709
2115,455.9979241925202,2.714017712953702,700.2017310260655,4.294092864703086,1308.7961365132471,6.3745994850154695,1032.2473799938061,5.448624189010314
2120,449.95899626642733,2.6804063092341552,702.2091263522823,4.349771990900095,1348.9994954649028,6.576501452076034,1058.209224532414,5.632831632136405
2125,444.1471630792277,2.6500198486504223,704.4336523167239,4.405336398017903,1387.1636503577752,6.7709752385928645,1082.6079553477746,5.81264921312148
2130,438.5252863957961,2.6118999670147995,706.8036009378209,4.450053032443331,1423.3814064472454,6.9470079510641245,1105.546547347008,5.976413603877295
2135,433.0680258596596,2.5788772081550775,709.2702475500251,4.4969861818862515,1457.7173599364012,7.117572200011008,1127.0960616712623,6.1366787165354415
2140,427.7580593831926,2.5370197523590896,711.800486953374,4.532430300020325,1490.2169299065104,7.268999345238646,1147.3058664256646,6.2795066205478545
2145,423.0249152861515,2.4985938149819455,714.3718289289052,4.568304292719586,1520.9124964568741,7.4133325380135116,1166.21058272185,6.416767909130533
2150,419.1017241972574,2.4579931151788674,716.9689971829354,4.598384787046583,1549.8275722197739,7.544527664853171,1183.8348052375256,6.542307043740835
