,,,lambda,ecs,tcr,alpha,beta,a0,a1,a2,tau0,tau1,tau2
CESM2-WACCM,ts,irm-2,0.711047475881426,3.825398865709408,1.8655054972718998,3.924188518670759,1.2136872959395968,0.4286935032473312,0.5713064967526686,,3.96066482647233,214.92302951874345,
CESM2-WACCM,ts,irm-3,0.7081391269597636,3.828323224342561,1.8655023417386625,3.911125287439981,1.2157884295452814,0.057209017573199815,0.3742026384111456,0.5685883440156546,0.2806015893162255,4.71295718940056,219.39669431335045
CNRM-CM6-1,tas,conventional,0.7412982570188974,4.917709568037405,2.1810420494037834,,,,,,,,
CNRM-CM6-1,tas,irm-2,0.7182230514643271,4.282014293971313,2.272101861860394,4.436924016837965,1.1648739963555872,0.5080619173960951,0.4919380826039048,,4.571037643120654,282.8758372434361,
CNRM-CM6-1,tas,irm-3,0.7447986043964052,4.193896628014443,2.269591312337116,4.506414284199499,1.1746912287892097,0.31035770864207823,0.2738975082400716,0.4157447831178501,1.4092133407759095,17.37797645543464,454.7738369748959
CNRM-CM6-1,ts,conventional,0.7409806386799396,4.8856578130558175,2.1488506635649505,,,,,,,,
CNRM-CM6-1,ts,irm-2,0.7185342326808438,4.250161211751622,2.2430784700119197,4.405826656596678,1.1657462132027552,0.5062174480246602,0.4937825519753398,,4.6949084975066615,285.2921127781704,
CNRM-CM6-1,ts,irm-3,0.7456823440351483,4.161146013059572,2.2403597705193117,4.476528506376037,1.1754981806483924,0.30948785736793366,0.2736080898232641,0.4169040528088022,1.4856451818508174,17.68032282921999,460.5680495911833
CNRM-ESM2-1,tas,conventional,0.6363352967678073,4.747041897738553,1.865465050327343,,,,,,,,
CNRM-ESM2-1,tas,irm-2,0.6276413976478147,4.060024937804328,2.0103797328864594,3.676332816343485,1.1845362112785223,0.4870825358285141,0.512917464171486,,5.904986689027412,338.2449067844234,
CNRM-ESM2-1,tas,irm-3,0.6671025947057715,3.932302023589115,2.008214675358627,3.784548154670289,1.1930631304813497,0.12587715609759356,0.3893436866387582,0.4847791572636483,0.3401629391932648,8.675778592261464,355.28955354382276
CNRM-ESM2-1,ts,conventional,0.6351630455527603,4.7176693245590755,1.826116319172535,,,,,,,,
CNRM-ESM2-1,ts,irm-2,0.6296838020242658,4.017430592614503,1.9786203224840393,3.6496014711947935,1.1873535361100962,0.4851645879891116,0.5148354120108886,,6.034597865414885,339.5812001780791,
CNRM-ESM2-1,ts,irm-3,0.6672301485879403,3.8963352250502554,1.976516052894737,3.7506497957021896,1.1955828420650554,0.11897271354889406,0.3928301714351777,0.48819711501592816,0.3540393666744983,8.65406877058137,355.4209927486348
CanESM5,tas,conventional,0.655917919696696,5.623709146934206,2.7473007226426054,,,,,,,,
CanESM5,tas,irm-2,0.6421313762525525,5.153439230410972,2.673300525602871,4.774144825611831,1.095635821449651,0.4938672086402981,0.5061327913597018,,6.234500876036251,231.4274376588716,
CanESM5,tas,irm-3,0.6494977935561875,5.105316586475363,2.6704251386136635,4.783820740124598,1.1043064035908383,0.1985521611457045,0.3415509029709253,0.4598969358833702,1.03763594929256,13.339592395998567,290.56991876285593
CanESM5,ts,conventional,0.6577992397241117,5.568713161888709,2.7029155325109584,,,,,,,,
CanESM5,ts,irm-2,0.643263047831654,5.104604826277763,2.6297488620725504,4.737238714402632,1.095999868083497,0.49102376393132136,0.5089762360686786,,6.378387951914744,232.73879288796434,
CanESM5,ts,irm-3,0.6512096759350243,5.055242774631993,2.626829803031055,4.749385269635775,1.1044777291185988,0.19446791068914143,0.3420964741508438,0.46343561516001475,1.0932364122678497,13.38072521835413,289.9749486215085
GFDL-CM4,tas,conventional,0.8149703264493675,3.9111100139123613,2.0439817018741047,,,,,,,,
GFDL-CM4,tas,irm-2,0.8304634639659362,3.637924634372841,2.0604087098520325,4.358617589799174,1.066159966835819,0.509473525142675,0.49052647485732515,,2.7609449244367,197.74625807372402,
GFDL-CM4,tas,irm-3,0.8062951902123605,3.672113064523294,2.061839002949284,4.271541722854984,1.0698264931021286,0.2801073492073635,0.2424911415617976,0.4774015092308389,0.980204422175698,6.993913968721099,223.7290522377434
GFDL-CM4,ts,conventional,0.8273031294140321,3.800856464251793,1.9594507161671875,,,,,,,,
GFDL-CM4,ts,irm-2,0.8411343378932375,3.5322357513377254,1.978348731206456,4.286369278143998,1.0682142720853063,0.503331942046026,0.49666805795397395,,2.8650003947849068,199.46997780291227,
GFDL-CM4,ts,irm-3,0.8192374739400098,3.561786129067841,1.9796759780417228,4.209710077353119,1.0717429444349011,0.277355962677113,0.23915753404148024,0.48348650328140674,1.0668036093763527,7.106350362663864,224.05712923432029
GISS-E2-1-G,tas,conventional,1.4479914455236689,2.715463773002142,1.776521021075485,,,,,,,,
GISS-E2-1-G,tas,irm-2,1.2671439787317766,2.774122480733753,1.7344391385468452,5.071379782410049,1.0186974639043913,0.6096765646078981,0.39032343539210185,,2.560668451669673,334.5684292351588,
